,num_day,timestamp,city,lat,lon,temp_celsius,humidity,dew_point,weather_main,weather_descrip,clouds,wind_speed,pop
122,4,1739185200,Gorges du Verdon,43.7496562,6.3285616,7.11,78,3.86,Rain,light rain,99,3.85,0.35000000000000003
123,5,1739271600,Gorges du Verdon,43.7496562,6.3285616,7.04,66,1.56,Clouds,overcast clouds,100,4.04,0.0
124,6,1739358000,Gorges du Verdon,43.7496562,6.3285616,6.35,75,2.6,Rain,light rain,98,2.7,1.0
125,7,1739444400,Gorges du Verdon,43.7496562,6.3285616,2.58,94,2.2,Rain,moderate rain,100,2.51,1.0
126,1,1738926000,Bormes les Mimosas,43.1506968,6.3419285,10.03,74,6.03,Clouds,overcast clouds,96,10.96,0.25
127,2,1739012400,Bormes les Mimosas,43.1506968,6.3419285,8.01,90,6.72,Rain,moderate rain,100,12.11,1.0
128,3,1739098800,Bormes les Mimosas,43.1506968,6.3419285,8.76,84,6.63,Rain,light rain,100,10.11,0.99
129,4,1739185200,Bormes les Mimosas,43.1506968,6.3419285,11.28,80,8.28,Rain,light rain,100,8.24,0.86
130,5,1739271600,Bormes les Mimosas,43.1506968,6.3419285,10.15,80,7.29,Clouds,overcast clouds,100,7.99,0.0
131,6,1739358000,Bormes les Mimosas,43.1506968,6.3419285,8.96,71,4.27,Rain,light rain,100,9.49,0.2
132,7,1739444400,Bormes les Mimosas,43.1506968,6.3419285,6.8100000000000005,87,5.26,Rain,light rain,100,10.42,1.0
133,1,1738926000,Cassis,43.2140359,5.5396318,9.92,78,6.48,Rain,light rain,75,12.12,0.91
134,2,1739012400,Cassis,43.2140359,5.5396318,9.56,77,6.07,Rain,light rain,100,14.06,0.86
135,3,1739098800,Cassis,43.2140359,5.5396318,11.65,67,5.9,Rain,light rain,100,8.43,1.0
136,4,1739185200,Cassis,43.2140359,5.5396318,10.87,87,8.99,Rain,light rain,100,7.22,1.0
137,5,1739271600,Cassis,43.2140359,5.5396318,11.62,72,6.93,Rain,light rain,100,9.44,0.34
138,6,1739358000,Cassis,43.2140359,5.5396318,11.12,63,4.5,Clouds,overcast clouds,98,10.32,0.0
139,7,1739444400,Cassis,43.2140359,5.5396318,9.05,76,5.16,Rain,light rain,99,11.34,0.2
140,1,1738926000,Marseille,43.2961743,5.3699525,10.99,76,6.78,Rain,light rain,79,12.62,0.87
141,2,1739012400,Marseille,43.2961743,5.3699525,10.7,74,6.15,Rain,light rain,100,14.21,1.0
142,3,1739098800,Marseille,43.2961743,5.3699525,11.64,66,5.24,Rain,light rain,100,7.17,1.0
143,4,1739185200,Marseille,43.2961743,5.3699525,12.09,79,8.28,Rain,light rain,100,8.31,1.0
144,5,1739271600,Marseille,43.2961743,5.3699525,12.55,70,7.06,Rain,light rain,100,9.59,0.38
145,6,1739358000,Marseille,43.2961743,5.3699525,12.39,61,4.79,Clouds,overcast clouds,96,10.05,0.0
146,7,1739444400,Marseille,43.2961743,5.3699525,10.47,72,5.51,Rain,light rain,99,10.99,0.25
147,1,1738926000,Aix en Provence,43.5298424,5.4474738,9.25,67,3.16,Clouds,broken clouds,81,8.34,0.05
148,2,1739012400,Aix en Provence,43.5298424,5.4474738,8.38,79,4.49,Rain,light rain,100,8.68,1.0
149,3,1739098800,Aix en Provence,43.5298424,5.4474738,9.82,71,4.47,Rain,moderate rain,100,3.98,1.0
150,4,1739185200,Aix en Provence,43.5298424,5.4474738,9.63,91,7.83,Rain,light rain,100,4.9,1.0
151,5,1739271600,Aix en Provence,43.5298424,5.4474738,11.22,69,5.49,Clouds,overcast clouds,100,6.45,0.08
152,6,1739358000,Aix en Provence,43.5298424,5.4474738,10.71,59,2.65,Rain,light rain,98,6.71,0.24
153,7,1739444400,Aix en Provence,43.5298424,5.4474738,8.14,78,4.17,Rain,light rain,100,6.74,0.75
154,1,1738926000,Avignon,43.9492493,4.8059012,9.99,64,3.3,Clouds,overcast clouds,100,9.99,0.12
155,2,1739012400,Avignon,43.9492493,4.8059012,11.66,63,4.76,Rain,light rain,100,10.14,0.8300000000000001
156,3,1739098800,Avignon,43.9492493,4.8059012,7.65,78,3.86,Rain,moderate rain,100,4.39,1.0
157,4,1739185200,Avignon,43.9492493,4.8059012,10.61,87,8.35,Rain,moderate rain,100,4.57,1.0
158,5,1739271600,Avignon,43.9492493,4.8059012,11.04,74,6.47,Rain,light rain,100,6.61,1.0
159,6,1739358000,Avignon,43.9492493,4.8059012,13.29,57,4.95,Rain,light rain,100,7.06,1.0
160,7,1739444400,Avignon,43.9492493,4.8059012,8.58,87,6.3,Rain,moderate rain,100,7.19,1.0
161,1,1738926000,Uzes,44.0121279,4.4196718,9.3,76,5.05,Rain,light rain,100,9.72,0.9
162,2,1739012400,Uzes,44.0121279,4.4196718,9.87,75,5.47,Rain,light rain,100,9.9,1.0
163,3,1739098800,Uzes,44.0121279,4.4196718,7.26,84,4.52,Rain,moderate rain,100,4.8,1.0
164,4,1739185200,Uzes,44.0121279,4.4196718,10.6,83,7.66,Rain,moderate rain,100,5.15,1.0
165,5,1739271600,Uzes,44.0121279,4.4196718,9.85,85,7.33,Rain,light rain,100,5.5,1.0
166,6,1739358000,Uzes,44.0121279,4.4196718,10.98,72,6.0,Rain,moderate rain,100,5.27,1.0
167,7,1739444400,Uzes,44.0121279,4.4196718,7.54,93,6.24,Rain,moderate rain,100,3.69,1.0
168,1,1738926000,Nimes,43.8374249,4.3600687,11.11,74,6.43,Rain,light rain,100,9.91,1.0
169,2,1739012400,Nimes,43.8374249,4.3600687,10.47,72,5.68,Rain,moderate rain,100,10.04,1.0
